ncbi_gene_id,name,landmark,gene_orientation,gene_start,gene_end,sum,len,all_sum,row_id,intron_count
1380,CR2,chr1,F,207454299,207489897,5685189,35598,5685189,110,20
1382,CRABP2,chr1,R,156699605,156705816,5691400,6211,5691400,111,4
1401,CRP,chr1,R,159712288,159714609,5693721,2321,5693721,112,1
1429,CRYZ,chr1,R,74705481,74733408,5721648,27927,5721648,113,10
1435,CSF1,chr1,F,109910610,109930994,5742032,20384,5742032,114,9
1441,CSF3R,chr1,R,36466042,36483314,5759304,17272,5759304,115,17
1465,CSRP1,chr1,R,201483529,201507259,5783034,23730,5783034,116,7
1486,CTBS,chr1,R,84553120,84574480,5804394,21360,5804394,117,6
1491,CTH,chr1,F,70411217,70440114,5833291,28897,5833291,118,12
1503,CTPS1,chr1,F,40979298,41012565,5866558,33267,5866558,119,22
1510,CTSE,chr1,R,206009263,206023909,5881204,14646,5881204,120,8
1513,CTSK,chr1,R,150796207,150808441,5893438,12234,5893438,121,7
1520,CTSS,chr1,R,150730195,150765957,5929200,35762,5929200,122,7
1573,CYP2J2,chr1,R,59893307,59926773,5962666,33466,5962666,123,9
1579,CYP4A11,chr1,R,46929173,46941499,5974992,12326,5974992,124,12
1580,CYP4B1,chr1,F,46798994,46819349,5995347,20355,5995347,125,11
1600,DAB1,chr1,R,56997905,58250539,7247981,1252634,7247981,126,16
1604,CD55,chr1,F,207321471,207360966,7287476,39495,7287476,127,13
1629,DBT,chr1,R,100186921,100249863,7350418,62942,7350418,128,12
1647,GADD45A,chr1,F,67685176,67688338,7353580,3162,7353580,129,3
1650,DDOST,chr1,R,20651766,20661544,7363358,9778,7363358,130,10
1660,DHX9,chr1,F,182839303,182887982,7412037,48679,7412037,131,28
1676,DFFA,chr1,R,10460530,10472556,7424063,12026,7424063,132,4
1677,DFFB,chr1,F,3857142,3885429,7452350,28287,7452350,133,8
1718,DHCR24,chr1,R,54849626,54887248,7489972,37622,7489972,134,8
1733,DIO1,chr1,F,53894187,53911086,7506871,16899,7506871,135,3
1744,DLSTP1,chr1,R,75742001,75745013,7509883,3012,7509883,136,0
1802,DPH2,chr1,F,43969980,43973371,7513274,3391,7513274,137,5
1805,DPT,chr1,R,168695456,168729204,7547022,33748,7547022,138,3
1806,DPYD,chr1,R,97077742,97921059,8390339,843317,8390339,139,24
1810,DR1,chr1,F,93345920,93362592,8407011,16672,8407011,140,2
1818,DRD5P2,chr1,F,144689613,144691842,8409240,2229,8409240,141,0
1855,DVL1,chr1,R,1335277,1349158,8423121,13881,8423121,142,15
1870,E2F2,chr1,R,23505973,23531250,8448398,25277,8448398,143,8
1889,ECE1,chr1,R,21217246,21345541,8576693,128295,8576693,144,22
1893,ECM1,chr1,F,150508010,150513789,8582472,5779,8582472,145,9
1901,S1PR1,chr1,F,101236748,101241520,8587244,4772,8587244,146,1
1907,EDN2,chr1,R,41478774,41484683,8593153,5909,8593153,147,4
1912,PHC2,chr1,R,33323622,33430610,8700141,106988,8700141,148,23
1939,EIF2D,chr1,R,206571296,206612551,8741396,41255,8741396,149,18
1942,EFNA1,chr1,F,155127872,155134910,8748434,7038,8748434,150,5
1944,EFNA3,chr1,F,155078871,155087538,8757101,8667,8757101,151,4
1945,EFNA4,chr1,F,155063736,155069553,8762918,5817,8762918,152,3
1952,CELSR2,chr1,F,109249714,109275756,8788960,26042,8788960,153,33
1953,MEGF6,chr1,R,3487941,3624757,8925776,136816,8925776,154,40
1969,EPHA2,chr1,R,16124336,16156087,8957527,31751,8957527,155,16
1996,ELAVL4,chr1,F,50048013,50203786,9113300,155773,9113300,156,14
1999,ELF3,chr1,F,202010518,202017188,9119970,6670,9119970,157,8
2005,ELK4,chr1,R,205593465,205634085,9160590,40620,9160590,158,10
2023,ENO1,chr1,R,8860999,8879092,9178683,18093,9178683,159,11
2029,ENSA,chr1,R,150622122,150629622,9186183,7500,9186183,160,5
2035,EPB41,chr1,F,28887090,29120046,9419139,232956,9419139,161,28
2046,EPHA8,chr1,F,22563507,22603594,9459226,40087,9459226,162,25
2048,EPHB2,chr1,F,22710769,22915330,9663787,204561,9663787,163,16
2052,EPHX1,chr1,F,225810073,225845563,9699277,35490,9699277,164,9
2058,EPRS,chr1,R,219968599,220046658,9777336,78059,9777336,165,31
2060,EPS15,chr1,R,51354262,51519354,9942428,165092,9942428,166,26
2104,ESRRG,chr1,R,216503245,217137755,10576938,634510,10576938,167,25
2117,ETV3,chr1,R,157121190,157138591,10594339,17401,10594339,168,4
2134,EXTL1,chr1,F,26021740,26036464,10609063,14724,10609063,169,11
2135,EXTL2,chr1,R,100872371,100895323,10632015,22952,10632015,170,7
2140,EYA3,chr1,R,27970343,28088675,10750347,118332,10750347,171,21
2152,F3,chr1,R,94529175,94541857,10763029,12682,10763029,172,5
2153,F5,chr1,R,169511953,169586531,10837607,74578,10837607,173,24
2165,F13B,chr1,R,197039190,197067267,10865684,28077,10865684,174,12
2166,FAAH,chr1,F,46394266,46413848,10885266,19582,10885266,175,14
2170,FABP3,chr1,R,31360417,31373283,10898132,12866,10898132,176,4
2205,FCER1A,chr1,F,159283887,159308224,10922469,24337,10922469,177,6
2207,FCER1G,chr1,F,161215296,161219248,10926421,3952,10926421,178,4
2209,FCGR1A,chr1,F,149781274,149792518,10937665,11244,10937665,179,5
2210,FCGR1B,chr1,F,121087344,121097161,10947482,9817,10947482,180,5
2212,FCGR2A,chr1,F,161505414,161524048,10966116,18634,10966116,181,9
2213,FCGR2B,chr1,F,161663114,161678654,10981656,15540,10981656,182,8
2214,FCGR3A,chr1,R,161541758,161550623,10990521,8865,10990521,183,5
2215,FCGR3B,chr1,R,161623195,161631963,10999289,8768,10999289,184,6
2224,FDPS,chr1,F,155308747,155320666,11011208,11919,11011208,185,10
2268,FGR,chr1,R,27612288,27635561,11034481,23273,11034481,186,17
2271,FH,chr1,R,241497556,241519785,11056710,22229,11056710,187,10
2275,FHL3,chr1,R,37996769,38005515,11065456,8746,11065456,188,5
2301,FOXE3,chr1,F,47416071,47418052,11067437,1981,11067437,189,0
2306,FOXD2,chr1,F,47436016,47440691,11072112,4675,11072112,190,0
2312,FLG,chr1,R,152302162,152325257,11095207,23095,11095207,191,2
2326,FMO1,chr1,F,171248470,171285978,11132715,37508,11132715,192,10
2327,FMO2,chr1,F,171185207,171212683,11160191,27476,11160191,193,8
2328,FMO3,chr1,F,171090876,171117821,11187136,26945,11187136,194,9
2329,FMO4,chr1,F,171314136,171342084,11215084,27948,11215084,195,10
2330,FMO5,chr1,R,147184299,147225798,11256583,41499,11256583,196,10
2331,FMOD,chr1,R,203340620,203351429,11267392,10809,11267392,197,2
2475,MTOR,chr1,R,11106530,11262557,11423419,156027,11423419,198,58
2494,NR5A2,chr1,F,200027601,200177424,11573242,149823,11573242,199,12
2517,FUCA1,chr1,R,23845076,23868369,11596535,23293,11596535,200,8
2532,ACKR1,chr1,F,159204012,159206500,11599023,2488,11599023,201,1
2537,IFI6,chr1,R,27666060,27672213,11605176,6153,11605176,202,4
2563,GABRD,chr1,F,2019328,2030753,11616601,11425,11616601,203,9
2582,GALE,chr1,R,23795598,23800804,11621807,5206,11621807,204,12
2590,GALNT2,chr1,F,230057788,230282130,11846149,224342,11846149,205,19
2629,GBA,chr1,R,155234447,155244862,11856564,10415,11856564,206,12
2630,GBAP1,chr1,R,155213824,155227534,11870274,13710,11870274,207,12
2633,GBP1,chr1,R,89052303,89065360,11883331,13057,11883331,208,11
2634,GBP2,chr1,R,89106131,89126159,11903359,20028,11903359,209,10
2635,GBP3,chr1,R,89006676,89022880,11919563,16204,11919563,210,12
2672,GFI1,chr1,R,92473042,92486876,11933397,13834,11933397,211,10
2701,GJA4,chr1,F,34792957,34795750,11936190,2793,11936190,212,1
2702,GJA5,chr1,R,147756198,147781067,11961059,24869,11961059,213,4
2703,GJA8,chr1,F,147902819,147915287,11973527,12468,11973527,214,2
2707,GJB3,chr1,F,34781188,34786366,11978705,5178,11978705,215,2
2709,GJB5,chr1,F,34755045,34758512,11982172,3467,11982172,216,1
2730,GCLM,chr1,R,93885204,93909598,12006566,24394,12006566,217,7
2752,GLUL,chr1,R,182378092,182392206,12020680,14114,12020680,218,8
2773,GNAI3,chr1,F,109548563,109595843,12067960,47280,12067960,219,8
2780,GNAT2,chr1,R,109602905,109619662,12084717,16757,12084717,220,8
2782,GNB1,chr1,R,1785284,1891117,12190550,105833,12190550,221,11
2786,GNG4,chr1,R,235547684,235650754,12293620,103070,12293620,222,9
2787,GNG5,chr1,R,84498322,84506579,12301877,8257,12301877,223,3
2810,SFN,chr1,F,26863141,26864456,12303192,1315,12303192,224,0
2827,GPR3,chr1,F,27392643,27395814,12306363,3171,12306363,225,1
2848,GPR25,chr1,F,200872954,200874178,12307587,1224,12307587,226,0
2882,GPX7,chr1,F,52602370,52609051,12314268,6681,12314268,227,2
2899,GRIK3,chr1,R,36795526,37034548,12553290,239022,12553290,228,17
2944,GSTM1,chr1,F,109687795,109693745,12559240,5950,12559240,229,7
2946,GSTM2,chr1,F,109668021,109683997,12575216,15976,12575216,230,9
2947,GSTM3,chr1,R,109733931,109741038,12582323,7107,12582323,231,8
2948,GSTM4,chr1,F,109656075,109665501,12591749,9426,12591749,232,9
2949,GSTM5,chr1,F,109711760,109718268,12598257,6508,12598257,233,8
2959,GTF2B,chr1,R,88852637,88891944,12637564,39307,12637564,234,7
2980,GUCA2A,chr1,R,42162690,42164724,12639598,2034,12639598,235,2
2981,GUCA2B,chr1,F,42153420,42155824,12642002,2404,12642002,236,2
2987,GUK1,chr1,F,228139642,228148955,12651315,9313,12651315,237,11
3020,H3F3A,chr1,F,226062706,226072002,12660611,9296,12660611,238,3
3061,HCRTR1,chr1,F,31617688,31632519,12675442,14831,12675442,239,10
3065,HDAC1,chr1,F,32292106,32333628,12716964,41522,12716964,240,14
3068,HDGF,chr1,R,156742106,156752448,12727306,10342,12727306,241,10
3075,CFH,chr1,F,196651877,196747504,12822933,95627,12822933,242,22
3078,CFHR1,chr1,F,196819730,196832189,12835392,12459,12835392,243,5
3080,CFHR2,chr1,F,196943757,196959226,12850861,15469,12850861,244,4
3104,ZBTB48,chr1,F,6579990,6589280,12860151,9290,12860151,245,10
3140,MR1,chr1,F,181033378,181061938,12888711,28560,12888711,246,7
3142,HLX,chr1,F,220879400,220885059,12894370,5659,12894370,247,3
3151,HMGN2,chr1,F,26472410,26476642,12898602,4232,12898602,248,5
3155,HMGCL,chr1,R,23801876,23825459,12922185,23583,12922185,249,8
3158,HMGCS2,chr1,R,119747995,119769125,12943315,21130,12943315,250,9
3192,HNRNPU,chr1,R,244850299,244864525,12957541,14226,12957541,251,13
3208,HPCA,chr1,F,32886086,32894646,12966101,8560,12966101,252,4
3283,HSD3B1,chr1,F,119507123,119515060,12974038,7937,12974038,253,3
3284,HSD3B2,chr1,F,119414930,119423039,12982147,8109,12982147,254,4
3290,HSD11B1,chr1,F,209686179,209734950,13030918,48771,13030918,255,6
3310,HSPA6,chr1,F,161524539,161526897,13033276,2358,13033276,256,0
3311,HSPA7,chr1,F,161606058,161608551,13035769,2493,13035769,257,0
3321,IGSF3,chr1,R,116574397,116667755,13129127,93358,13129127,258,14
3339,HSPG2,chr1,R,21822231,21937297,13244193,115066,13244193,259,103
3352,HTR1D,chr1,R,23191894,23194729,13247028,2835,13247028,260,0
3362,HTR6,chr1,F,19665286,19680966,13262708,15680,13262708,261,2
3399,ID3,chr1,R,23557929,23559794,13264573,1865,13264573,262,2
3428,IFI16,chr1,F,158999972,159055155,13319756,55183,13319756,263,12
3491,CYR61,chr1,F,85580760,85583967,13322963,3207,13322963,264,4
3570,IL6R,chr1,F,154405192,154469450,13387221,64258,13387221,265,11
3586,IL10,chr1,R,206767601,206774607,13394227,7006,13394227,266,5
3595,IL12RB2,chr1,F,67307350,67396900,13483777,89550,13483777,267,18
3604,TNFRSF9,chr1,R,7915870,7943165,13511072,27295,13511072,268,9
3608,ILF2,chr1,R,153661787,153671028,13520313,9241,13520313,269,13
3633,INPP5B,chr1,R,37860696,37947084,13606701,86388,13606701,270,31
3645,INSRR,chr1,R,156840872,156858920,13624749,18048,13624749,271,21
3652,IPP,chr1,R,45694323,45750813,13681239,56490,13681239,272,10
3664,IRF6,chr1,R,209785622,209806175,13701792,20553,13701792,273,8
3707,ITPKB,chr1,R,226631689,226739327,13809430,107638,13809430,274,8
3713,IVL,chr1,F,152908562,152911886,13812754,3324,13812754,275,2
3716,JAK1,chr1,R,64833222,64966910,13946442,133688,13946442,276,26
3725,JUN,chr1,R,58780790,58784113,13949765,3323,13949765,277,0
3737,KCNA2,chr1,R,110593579,110631514,13987700,37935,13987700,278,8
3738,KCNA3,chr1,R,110653559,110675033,14009174,21474,14009174,279,3
3744,KCNA10,chr1,R,110517216,110519175,14011133,1959,14011133,280,0
3749,KCNC4,chr1,F,110210713,110282617,14083037,71904,14083037,281,5
3752,KCND3,chr1,R,111775821,111989576,14296792,213755,14296792,282,13
3756,KCNH1,chr1,R,210678313,211134115,14752594,455802,14752594,283,11
3765,KCNJ9,chr1,F,160079952,160090563,14763205,10611,14763205,284,3
3766,KCNJ10,chr1,R,160037466,160070261,14796000,32795,14796000,285,1
3775,KCNK1,chr1,F,233614003,233672512,14854509,58509,14854509,286,5
3776,KCNK2,chr1,F,215002638,215237093,15088964,234455,15088964,287,12
3782,KCNN3,chr1,R,154697461,154870278,15261781,172817,15261781,288,9
3814,KISS1,chr1,R,204190340,204196491,15267932,6151,15267932,289,3
3898,LAD1,chr1,R,201380837,201399541,15286636,18704,15286636,290,10
3914,LAMB3,chr1,R,209614869,209652475,15324242,37606,15324242,291,23
3915,LAMC1,chr1,F,183023459,183145592,15446375,122133,15446375,292,27
3918,LAMC2,chr1,F,183186038,183245127,15505464,59089,15505464,293,22
3925,STMN1,chr1,R,25884185,25906877,15528156,22692,15528156,294,7
3930,LBR,chr1,R,225401501,225428855,15555510,27354,15555510,295,15
3932,LCK,chr1,F,32251238,32286170,15590442,34932,15590442,296,12
3953,LEPR,chr1,F,65420651,65637493,15807284,216842,15807284,297,23
3964,LGALS8,chr1,F,236518213,236552981,15842052,34768,15842052,298,14
4000,LMNA,chr1,F,156082545,156140089,15899596,57544,15899596,299,16
4009,LMX1A,chr1,R,165201866,165356715,16054445,154849,16054445,300,12
4014,LOR,chr1,F,153259634,153262125,16056936,2491,16056936,301,1
4063,LY9,chr1,F,160796073,160828256,16089119,32183,16089119,302,11
4070,TACSTD2,chr1,R,58575422,58577494,16091191,2072,16091191,303,0
4116,MAGOH,chr1,R,53226891,53238610,16102910,11719,16102910,304,4
4139,MARK1,chr1,F,220528182,220664457,16239185,136275,16239185,305,20
4146,MATN1,chr1,R,30711276,30723585,16251494,12309,16251494,306,7
4170,MCL1,chr1,R,150574550,150579738,16256682,5188,16256682,307,2
4179,CD46,chr1,F,207752037,207795516,16300161,43479,16300161,308,13
4184,SMCP,chr1,F,152878321,152885047,16306887,6726,16306887,309,1
4194,MDM4,chr1,F,204516378,204581681,16372190,65303,16372190,310,16
4209,MEF2D,chr1,R,156463720,156500842,16409312,37122,16409312,311,16
4237,MFAP2,chr1,R,16974499,16981643,16416456,7144,16416456,312,9
4259,MGST3,chr1,F,165630872,165656136,16441720,25264,16441720,313,6
4332,MNDA,chr1,F,158831377,158849480,16459823,18103,16459823,314,6
4343,MOV10,chr1,F,112674311,112700746,16486258,26435,16486258,315,20
4352,MPL,chr1,F,43337417,43354464,16503305,17047,16503305,316,11
4359,MPZ,chr1,R,161304734,161309972,16508543,5238,16508543,317,5
4438,MSH4,chr1,F,75796870,75913238,16624911,116368,16624911,318,19
4520,MTF1,chr1,R,37809566,37859624,16674969,50058,16674969,319,14
4524,MTHFR,chr1,R,11785729,11806103,16695343,20374,16695343,320,12
4548,MTR,chr1,F,236794303,236903981,16805021,109678,16805021,321,33
4580,MTX1,chr1,F,155208698,155213839,16810162,5141,16810162,322,8
4582,MUC1,chr1,R,155185823,155192915,16817254,7092,16817254,323,7
4595,MUTYH,chr1,R,45329241,45340470,16828483,11229,16828483,324,21
4608,MYBPH,chr1,R,203167810,203175966,16836639,8156,16836639,325,11
4610,MYCL,chr1,R,39895423,39902015,16843231,6592,16843231,326,1
4653,MYOC,chr1,R,171635416,171652633,16860448,17217,16860448,327,2
4656,MYOG,chr1,R,203083128,203086038,16863358,2910,16863358,328,2
4660,PPP1R12B,chr1,F,202348701,202588569,17103226,239868,17103226,329,33
4678,NASP,chr1,F,45583987,45618906,17138145,34919,17138145,330,15
4681,NBL1,chr1,F,19643228,19658456,17153373,15228,17153373,331,9
4688,NCF2,chr1,R,183555561,183590921,17188733,35360,17188733,332,16
4720,NDUFS2,chr1,F,161197418,161214395,17205710,16977,17205710,333,14
4725,NDUFS5,chr1,F,39026294,39034636,17214052,8342,17214052,334,2
4751,NEK2,chr1,R,211658255,211675630,17231427,17375,17231427,335,8
4774,NFIA,chr1,F,61077256,61462788,17616959,385532,17616959,336,14
4802,NFYC,chr1,F,40691569,40771603,17696993,80034,17696993,337,18
4803,NGF,chr1,R,115285915,115338384,17749462,52469,17749462,338,4
4807,NHLH1,chr1,F,160286368,160372848,17835942,86480,17835942,339,3
4808,NHLH2,chr1,R,115831910,115841127,17845159,9217,17845159,340,4
4811,NID1,chr1,R,235975829,236065181,17934511,89352,17934511,341,19
4817,NIT1,chr1,F,161118071,161125445,17941885,7374,17941885,342,7
4853,NOTCH2,chr1,R,119911552,120069703,18100036,158151,18100036,343,36
4878,NPPA,chr1,R,11845708,11847783,18102111,2075,18102111,344,2
4879,NPPB,chr1,R,11857463,11858935,18103583,1472,18103583,345,2
4881,NPR1,chr1,F,153678616,153693992,18118959,15376,18118959,346,21
4893,NRAS,chr1,R,114704463,114716894,18131390,12431,18131390,347,6
4898,NRD1,chr1,R,51789191,51878937,18221136,89746,18221136,348,35
4904,YBX1,chr1,F,42682388,42702363,18241111,19975,18241111,349,7
4914,NTRK1,chr1,F,156815749,156881850,18307212,66101,18307212,350,18
4919,ROR1,chr1,F,63774018,64181498,18714692,407480,18714692,351,9
4921,DDR2,chr1,F,162631264,162786591,18870019,155327,18870019,352,21
4931,NVL,chr1,R,224227333,224330201,18972887,102868,18972887,353,26
4985,OPRD1,chr1,F,28812141,28863696,19024442,51555,19024442,354,2
4998,ORC1,chr1,R,52372828,52404471,19056085,31643,19056085,355,16
5016,OVGP1,chr1,R,111414314,111427777,19069548,13463,19069548,356,10
5051,PAFAH2,chr1,R,25959763,25998581,19108366,38818,19108366,357,12
5052,PRDX1,chr1,R,45511034,45522890,19120222,11856,19120222,358,6
5081,PAX7,chr1,F,18631005,18748866,19238083,117861,19238083,359,8
5087,PBX1,chr1,F,164559359,164886047,19564771,326688,19564771,360,16
5129,CDK18,chr1,F,205504555,205532793,19593009,28238,19593009,361,15
5132,PDC,chr1,R,186443565,186461108,19610552,17543,19610552,362,4
5142,PDE4B,chr1,F,65792509,66374579,20192622,582070,20192622,363,24
5174,PDZK1,chr1,R,145670851,145707400,20229171,36549,20229171,364,12
5192,PEX10,chr1,R,2404801,2413780,20238150,8979,20238150,365,7
5195,PEX14,chr1,F,10474945,10630758,20393963,155813,20393963,366,12
5202,PFDN2,chr1,R,161100555,161118076,20411484,17521,20411484,367,4
5208,PFKFB2,chr1,F,207034415,207081023,20458092,46608,20458092,368,20
5226,PGD,chr1,F,10398991,10420511,20479612,21520,20479612,369,12
5236,PGM1,chr1,F,63593275,63660245,20546582,66970,20546582,370,12
5279,PIGC,chr1,R,172441456,172444090,20549216,2634,20549216,371,1
5284,PIGR,chr1,R,206928521,206946466,20567161,17945,20567161,372,11
5287,PIK3C2B,chr1,R,204422627,204494815,20639349,72188,20639349,373,36
