chrom_ncbi chrom start start_phase end end_phase strand gene_id gene_name transcription_start transcription_end
NT_187686.1 chr19_KI270932v1_alt 161717 0 175539 0 - 100132285 KIR2DS2 161262 175622
NT_113949.2 chr19_GL000209v2_alt 123409 0 137230 0 - 100132285 KIR2DS2 122954 137313
NC_000017.11 chr17 41105388 0 41106021 0 + 100132386 KRTAP4-9 41105388 41106488
NW_003871091.1 chr17_JH159146v1_alt 255075 0 255708 0 + 100132386 KRTAP4-9 255075 256175
NC_000008.11 chr8 7947421 0 7952391 0 + 100132396 ZNF705B 7926336 7952413
NC_000023.11 chrX 49542887 0 49549003 2 + 100132399 GAGE12D 49541721 49549107
NC_000009.12 chr9 138215716 0 138233806 2 + 100132403 FAM157B 138215350 138252775
NC_000001.11 chr1 146066317 1 146144769 0 - 100132406 NBPF10 146066317 146144804
NC_000004.12 chr4 183321763 0 183322426 0 - 100132463 CLDN24 183321763 183322426
NC_000017.11 chr17 41084206 0 41084674 0 + 100132476 KRTAP4-7 41084206 41085144
NC_000009.12 chr9 61983679 0 61984420 0 + 100132874 LOC100132874 61982795 61986927
NC_000020.11 chr20 62845663 0 62845900 0 + 100132911 DPH3P1 62844565 62846191
NC_000005.10 chr5 64690623 0 64718022 2 + 100132916 FAM159B 64690307 64718190
NC_000023.11 chrX 154823754 1 154830856 0 - 100132963 SMIM9 154823347 154834662
NC_000023.11 chrX 71763423 0 71766923 2 + 100132994 CXorf49B 71763289 71767201
NC_000023.11 chrX 146809791 0 146810308 0 + 100133053 CXorf51B 146809783 146810411
NC_000010.11 chr10 47487274 2 47491674 0 - 100133093 FAM25G 47487235 47491700
NC_000015.10 chr15 85240471 0 85247170 1 + 100133220 GOLGA6L3 85240409 85247187
NC_000008.11 chr8 7779160 0 7781236 0 - 100133251 PRR23D2 7778590 7784165
NC_000008.11 chr8 12064388 2 12071747 0 - 100133267 LOC100133267 12064388 12071747
NC_000001.11 chr1 16539065 0 16539575 0 + 100133301 FAM231B 16538723 16540035
NC_000006.12 chr6 106971660 0 106974646 0 - 100133941 CD24 106969830 106976855
NC_000017.11 chr17 73737949 0 73756404 2 + 100134391 LOC100134391 73737853 73756831
NC_000017.11 chr17 21702786 0 21704088 0 + 100134444 KCNJ18 21692522 21705700
NC_000017.11 chr17 75986192 0 76000262 2 + 100134934 TEN1 75979216 76000586
NC_000007.14 chr7 102637524 1 102642741 0 - 100134938 UPK3BL 102637024 102642791
NC_000015.10 chr15 41828124 0 41837156 2 + 100137047 JMJD7 41828084 41837587
NC_000015.10 chr15 41838913 0 41847860 2 + 100137049 PLA2G4B 41838812 41848148
NC_000017.11 chr17 44078375 1 44117515 0 - 10014 HDAC5 44076752 44123646
NC_000017.11 chr17 78146407 0 78166046 2 + 100141515 C17orf99 78146039 78166904
NC_000007.14 chr7 144266916 0 144269250 0 - 100142659 CTAGE8 144266673 144269784
NC_000002.12 chr2 154437590 2 154445856 0 - 100144595 LOC100144595 154435852 154457438
NC_000010.11 chr10 87861950 0 87862487 0 - 100144748 KLLN 87859160 87863437
NC_000003.12 chr3 33798728 0 33866525 1 + 10015 PDCD6IP 33798570 33869707
NC_000005.10 chr5 271720 0 314515 0 + 10016 PDCD6 271620 314974
NC_000011.10 chr11 125788151 0 125790602 2 + 100169851 PATE3 125788110 125791600
NC_000015.10 chr15 52109847 0 52112726 0 - 10017 BCL2L10 52109268 52113042
NC_000019.10 chr19 43612121 0 43614269 0 + 100170229 SRRM5 43612100 43614498
NC_000019.10 chr19 41443169 0 41444224 0 + 100170765 ERICH4 41443157 41444765
NC_000017.11 chr17 38673355 0 38674495 0 - 100170841 C17orf96 38671702 38674934
NT_187614.1 chr17_KI270857v1_alt 2708674 0 2709814 0 - 100170841 C17orf96 2707021 2710253
NC_000002.12 chr2 111123745 0 111164231 0 + 10018 BCL2L11 111120617 111168445
NC_000006.12 chr6 41787697 0 41789328 1 + 100188893 TOMM6 41787442 41789896
NC_000012.12 chr12 111418145 0 111448302 2 + 10019 SH2B3 111405107 111451624
NC_000005.10 chr5 157671614 0 157679999 0 + 100190949 C5orf52 157671236 157680176
NC_000001.11 chr1 151837927 0 151838989 0 - 100191040 C2CD4D 151837817 151845329
NC_000020.11 chr20 61252513 0 61936943 0 + 1002 CDH4 61252425 61940617
NT_187623.1 chr20_KI270869v1_alt NA 2 50593 0 + 1002 CDH4 8602 54269
NC_000009.12 chr9 36217364 2 36277042 0 - 10020 GNE 36214440 36277056
NC_000015.10 chr15 73322480 2 73368270 0 - 10021 HCN4 73319858 73369264
NC_000001.11 chr1 66798012 2 66801221 0 - 10022 INSL5 66797740 66801259
NC_000010.11 chr10 97319453 0 97320293 0 + 10023 FRAT1 97319264 97321915
NC_000012.12 chr12 49323608 0 49331617 0 + 10024 TROAP 49322137 49331733
NC_000019.10 chr19 868100 1 891131 0 - 10025 MED16 867961 893218
NT_187622.1 chr19_KI270868v1_alt 47326 1 NA 2 - 10025 MED16 47187 60469
NC_000001.11 chr1 77092373 0 77219402 0 - 10026 PIGK 77088980 77219447
NC_000002.12 chr2 38919447 0 38973843 1 + 100271715 ARHGEF33 38919362 38975449
NC_000019.10 chr19 53049251 0 53050859 0 + 100271846 ERVV-2 53044737 53051127
NC_000019.10 chr19 19145796 1 19150735 0 - 100271849 MEF2B 19145566 19170289
NC_000007.14 chr7 102483591 2 102517710 0 - 100271927 RASA4B 102483138 102517777
NC_000023.11 chrX 155061842 2 155064023 0 - 100272147 CMC4 155061621 155071272
NC_000004.12 chr4 9153295 0 9161952 0 + 100287013 FAM86KP 9153295 9161952
NC_000016.10 chr16 89323305 0 89324585 2 + 100287036 LOC100287036 89321132 89325110
NC_000004.12 chr4 9210656 0 9212249 0 + 100287144 USP17L10 9210656 9212249
NC_000009.12 chr9 14806 2 30472 0 - 100287171 WASH1 14510 30487
NC_000004.12 chr4 9215404 0 9216997 0 + 100287178 USP17L11 9215404 9216997
NC_000004.12 chr4 9220151 0 9221744 0 + 100287205 USP17L12 9220151 9221744
NC_000019.10 chr19 22286525 0 22317176 2 + 100287226 ZNF729 22286449 22317176
NC_000004.12 chr4 9224895 0 9226488 0 + 100287238 USP17L13 9224895 9226488
NC_000012.12 chr12 27762737 2 27771276 0 - 100287284 MANSC4 27762640 27773083
NC_000007.14 chr7 56936034 2 56945473 0 - 100287294 LOC100287294 56936026 56945473
NC_000004.12 chr4 9243878 0 9245471 0 + 100287327 USP17L17 9243878 9245471
NC_000003.12 chr3 46719998 2 46736388 0 - 100287362 PRSS46 46719582 46736431
NC_000004.12 chr4 9248629 0 9250222 0 + 100287364 USP17L18 9248629 9250222
NC_000002.12 chr2 238846661 0 238847679 0 - 100287387 LOC100287387 238844545 238847679
NC_000015.10 chr15 20835390 0 20866281 0 - 100287399 POTEB2 20835371 20866431
NC_000004.12 chr4 9253377 0 9254970 0 + 100287404 USP17L19 9253377 9254970
NC_000004.12 chr4 9258123 0 9259716 0 + 100287441 USP17L20 9258123 9259716
NC_000019.10 chr19 50058715 0 50060497 0 - 100287477 LOC100287477 50058265 50060497
NC_000004.12 chr4 9262871 0 9264464 0 + 100287478 USP17L21 9262871 9264464
NC_000007.14 chr7 129502824 0 129512441 0 + 100287482 SMKR1 129502478 129512932
NC_000004.12 chr4 9267618 0 9269211 0 + 100287513 USP17L22 9267618 9269211
NC_000006.12 chr6 46746921 0 46758921 1 + 100287718 ANKRD66 46746916 46759218
NT_167219.1 chr14_GL000225v1_random 36360 0 37628 0 + 100287823 LOC100287823 36360 37628
NC_000001.11 chr1 2641367 0 2789591 0 - 100287898 TTC34 2636987 2789665
NT_187515.1 chr1_KI270762v1_alt 192152 0 352765 0 - 100287898 TTC34 187772 352839
NC_000010.11 chr10 45972624 0 46003318 2 + 100287932 TIMM23 45972452 46003742
NC_000016.10 chr16 22162437 0 22190393 0 + 100288072 SDR42E2 22162437 22191856
NC_000001.11 chr1 145291525 1 145393729 0 - 100288142 NBPF20 145289899 145405778
NC_000021.9 chr21 30590236 0 30590374 0 - 100288287 KRTAP22-2 30590104 30590397
NC_000021.9 chr21 30718582 0 30718759 0 - 100288323 KRTAP21-3 30718524 30718777
NC_000016.10 chr16 15363658 0 15378294 0 - 100288332 NPIPA5 15363623 15381972
NT_187607.1 chr16_KI270853v1_alt 1021604 0 1038998 0 - 100288332 NPIPA5 1021569 1039933
NC_000004.12 chr4 52743828 0 52745520 0 - 100288413 ERVMER34-1 52738951 52751640
NC_000010.11 chr10 37601969 0 37602044 0 - 100288485 MTRNR2L7 37601437 37602931
NC_000004.12 chr4 9234384 0 9236334 2 + 100288520 USP17L15 9234384 9236334
NC_000007.14 chr7 290169 0 291488 0 + 100288524 WI2-2373I1.2 290169 294422
NC_000008.11 chr8 85790324 0 85792352 0 - 100288562 LOC100288562 85790324 85792352
NC_000004.12 chr4 190173773 0 190175198 0 + 100288687 DUX4 190173668 190175845
NC_000002.12 chr2 110465615 0 110472778 0 - 100288695 LIMS3L 110445882 110473075
NC_000020.11 chr20 2816554 0 2817013 0 + 100288797 TMEM239 2815873 2818062
NC_000003.12 chr3 75664379 0 75666041 2 + 100288801 FRG2C 75646782 75667217
NC_000023.11 chrX 9967357 0 9968002 0 + 100288814 LOC100288814 9961358 9968373
NT_167208.1 chrUn_GL000213v1 108025 0 139287 0 - 100288966 LOC100288966 108006 139441
NC_000024.10 chrY 9527925 0 9530488 2 + 100289087 TSPY10 9527898 9530683
NC_000020.11 chr20 28559636 2 28591463 0 - 100289097 LOC100289097 28557089 28602838
NC_000007.14 chr7 99602638 0 99610565 2 + 100289187 GS1-259H13.2 99597955 99610833
NC_000009.12 chr9 61330967 0 61461290 2 + 100289279 LOC100289279 61330591 61461342
NC_000008.11 chr8 7414960 2 7416827 0 - 100289462 DEFB4B 7414862 7416832
NT_187570.1 chr8_KI270813v1_alt 98013 2 99900 0 - 100289462 DEFB4B 97915 99905
NC_000007.14 chr7 102366061 0 102380540 2 + 100289561 LOC100289561 102363860 102380633
NC_000012.12 chr12 132925372 2 132945635 0 - 100289635 ZNF605 132921432 132956306
NC_000007.14 chr7 149262333 0 149282343 2 + 100289678 ZNF783 149262170 149284994
NC_000019.10 chr19 57830528 0 57844342 0 + 100293516 ZNF587B 57830293 57846238
NT_167249.2 chr6_GL000256v2_alt 3283296 0 3303729 1 + 100293534 C4B_2 3283245 3303870
NC_000012.12 chr12 123363857 0 123365692 0 + 100293704 LOC100293704 123363058 123365789
NT_167251.2 chr17_GL000258v2_alt 1503209 2 1562375 0 - 100294341 LOC100294341 1217573 1566560
NC_000016.10 chr16 66379337 0 66403169 2 + 1003 CDH5 66366621 66404786
NC_000002.12 chr2 53670502 2 53859928 0 - 100302652 GPR75-ASB3 53670292 53860033
NC_000005.10 chr5 115580548 1 115625792 0 - 100302736 TMED7-TICAM2 115578495 115626179
NC_000020.11 chr20 18137955 0 18142357 0 + 100303755 PET117 18137854 18143169
NC_000007.14 chr7 102652348 0 102660265 0 + 100310812 SPDYE2B 102650324 102661400
NC_000007.14 chr7 6031375 0 6036386 1 + 100310846 ANKRD61 6031375 6036552
NC_000007.14 chr7 100572286 0 100573168 0 - 100316904 SAP25 100572225 100573864
NC_000023.11 chrX 111901849 0 111902185 0 + 100329135 TRPC5OS 111876050 111903990
NC_000019.10 chr19 4402762 0 4443025 2 + 10036 CHAF1A 4402611 4448308
NC_000014.9 chr14 20343641 0 20357797 1 + 10038 PARP2 20343613 20357910
NC_000001.11 chr1 203797522 0 203800462 0 + 100381270 ZBED6 203797522 203800462
NC_000003.12 chr3 51942689 0 51948480 2 + 10039 PARP3 51942286 51948867
NC_000005.10 chr5 31267473 0 31323308 2 + 1004 CDH6 31193654 31329146
NC_000017.11 chr17 54900865 0 54960626 1 + 10040 TOM1L1 54900690 54961967
NC_000022.11 chr22 35262390 0 35293651 0 + 10042 HMGXB4 35241534 35295807
NC_000022.11 chr22 22888053 0 22895694 2 + 100423062 IGLL5 22887779 22895834
NC_000022.11 chr22 35299928 0 35347209 2 + 10043 TOM1 35299274 35347994
NC_000012.12 chr12 9881595 0 9895833 1 + 100431172 KLRF2 9881488 9895833
NC_000009.12 chr9 127738745 2 127778627 0 - 10044 SH2D3C 127738316 127785159
NC_000019.10 chr19 6752592 2 6763748 0 - 10045 SH2D3A 6752159 6767512
NC_000023.11 chrX 150445516 0 150513073 2 + 10046 MAMLD1 150361588 150514178
NC_000017.11 chr17 22524061 0 22524136 0 + 100462977 MTRNR2L1 22523110 22524665
NC_000005.10 chr5 80649999 0 80650086 0 - 100462981 MTRNR2L2 80649999 80651035
NC_000020.11 chr20 57358964 0 57359039 0 - 100462983 MTRNR2L3 57358439 57359822
NC_000016.10 chr16 3371815 0 3371902 0 - 100463285 MTRNR2L4 3371052 3372283
NC_000010.11 chr10 55599899 0 55599974 0 + 100463289 MTRNR2L5 55598989 55600728
NC_000007.14 chr7 142667230 0 142667305 0 + 100463482 MTRNR2L6 142666298 142667693
NT_187562.1 chr7_KI270803v1_alt 669783 0 669858 0 + 100463482 MTRNR2L6 668851 670246
NC_000011.10 chr11 10508151 0 10508226 0 - 100463486 MTRNR2L8 10507886 10509176
NC_000006.12 chr6 61574327 0 61574402 0 + 100463487 MTRNR2L9 61574102 61574629
NC_000023.11 chrX 55181919 0 55181994 0 - 100463488 MTRNR2L10 55181390 55182511
NC_000020.11 chr20 23491667 0 23495914 0 + 10047 CST8 23491075 23507128
NC_000006.12 chr6 13622361 2 13711505 0 - 10048 RANBP9 13621497 13711580
NC_000007.14 chr7 157358572 0 157416098 2 + 10049 DNAJB6 157337015 157417439
NC_000009.12 chr9 97307755 0 97376894 0 + 100499483 CCDC180 97307627 97377295
NC_000018.10 chr18 65762842 0 65880894 2 + 1005 CDH7 65750251 65880939
NC_000006.12 chr6 25761962 0 25779188 0 + 10050 SLC17A4 25753358 25781175
NC_000011.10 chr11 22847509 0 22860421 0 - 100500938 CCDC179 22846921 22860486
NC_000003.12 chr3 159069432 0 159896774 1 + 100505385 IQCJ-SCHIP1 159069251 159897366
NC_000009.12 chr9 114666642 2 114671921 0 - 100505478 LOC100505478 114666433 114682089
NC_000010.11 chr10 31362798 0 31364049 0 - 100505502 LOC100505502 31362777 31364077
NC_000018.10 chr18 57641913 0 57668175 2 + 100505549 LOC100505549 57630301 57669276
NC_000019.10 chr19 9787779 1 9793294 0 - 100505555 LOC100505555 9787405 9793381
NT_187657.1 chr11_KI270903v1_alt 160887 0 162387 2 + 100505570 LOC100505570 160865 162836
NC_000015.10 chr15 40324055 0 40324517 0 + 100505573 INAFM2 40324036 40326715
NC_000017.11 chr17 39941523 0 39944734 1 + 100505591 LRRC3C 39927721 39945034
NC_000015.10 chr15 84172501 0 84182143 0 + 100505679 UBE2Q2L 84172489 84182233
NC_000017.11 chr17 41275697 0 41276207 0 + 100505724 KRTAP9-7 41275697 41276207
NW_003871093.1 chr17_JH159148v1_alt 30902 0 31412 0 - 100505724 KRTAP9-7 30902 31412
NC_000001.11 chr1 84516293 0 84553124 0 + 100505741 SPATA1 84506300 84556495
NC_000017.11 chr17 41307699 0 41309253 0 - 100505753 KRTAP16-1 41307699 41309253
NW_003315953.2 chr17_GL383564v2_alt 131007 0 132561 0 + 100505753 KRTAP16-1 131007 132561
NC_000007.14 chr7 77052777 0 77060512 0 - 100505767 SPDYE18 77051688 77060538
NC_000018.10 chr18 72867282 0 72881285 0 + 100505797 LOC100505797 72867266 72881399
NC_000005.10 chr5 122156663 0 122182642 2 + 100505841 LOC100505841 122129545 122182663
NC_000003.12 chr3 23195199 2 23203045 0 - 100505877 UBE2E2-AS1 23195069 23203045
NC_000009.12 chr9 137170974 1 137172027 0 - 100505993 TMEM210 137170927 137172046
NC_000019.10 chr19 46481383 0 46600969 0 - 100506012 PPP5D1 46480787 46601200
NC_000004.12 chr4 164877331 0 164879008 2 + 100506013 APELA 164876987 164897527
NC_000007.14 chr7 16526952 0 16581489 1 + 100506049 LRRC72 16526826 16581554
